;Name;n;m;directed;dmax;davg;download_link
132;Wikibooks edits (mg);609;788;False;204;2.58785;http://konect.cc/files/download.tsv.edit-mgwikibooks.tar.bz2
133;Wikiquote edits (wo);654;841;False;198;2.57187;http://konect.cc/files/download.tsv.edit-wowikiquote.tar.bz2
134;Wikiquote edits (ky);611;864;False;204;2.82815;http://konect.cc/files/download.tsv.edit-kywikiquote.tar.bz2
135;Wikibooks edits (ky);647;905;False;201;2.79753;http://konect.cc/files/download.tsv.edit-kywikibooks.tar.bz2
136;Wikiquote edits (zh-min-nan);550;938;False;160;3.41091;http://konect.cc/files/download.tsv.edit-zh_min_nanwikiquote.tar.bz2
137;Jazz musicians;198;2742;False;100;27.697;http://konect.cc/files/download.tsv.arenas-jazz.tar.bz2
138;Yeast;1870;2277;False;56;2.43529;http://konect.cc/files/download.tsv.moreno_propro.tar.bz2
139;Wikiquote edits (fo);691;991;False;198;2.86831;http://konect.cc/files/download.tsv.edit-fowikisource.tar.bz2
140;Little Rock Lake;183;2494;True;108;27.2568;http://konect.cc/files/download.tsv.maayan-foodweb.tar.bz2
141;Wikibooks edits (ie);705;1117;False;383;3.16879;http://konect.cc/files/download.tsv.edit-iewikibooks.tar.bz2
142;Wikibooks edits (fy);739;1173;False;204;3.17456;http://konect.cc/files/download.tsv.edit-fywikibooks.tar.bz2
143;Wikibooks edits (cy);781;1170;False;283;2.99616;http://konect.cc/files/download.tsv.edit-cywikibooks.tar.bz2
144;Network science;1461;2742;False;34;3.75359;http://konect.cc/files/download.tsv.dimacs10-netscience.tar.bz2
145;Air traffic control;1226;2615;True;37;4.26591;http://konect.cc/files/download.tsv.maayan-faa.tar.bz2
146;Wikipedia edits (aa);689;1189;False;202;3.45138;http://konect.cc/files/download.tsv.edit-aawiki.tar.bz2
147;Wikiquote edits (uz);704;1221;False;202;3.46875;http://konect.cc/files/download.tsv.edit-uzwikiquote.tar.bz2
148;Residence hall;217;2672;True;80;24.6267;http://konect.cc/files/download.tsv.moreno_oz.tar.bz2
149;Wikiquote edits (ang);625;1303;False;432;4.1696;http://konect.cc/files/download.tsv.edit-angwikiquote.tar.bz2
150;Wikibooks edits (tg);960;1308;False;220;2.725;http://konect.cc/files/download.tsv.edit-tgwikibooks.tar.bz2
151;Wikibooks edits (pa);824;1278;False;212;3.10194;http://konect.cc/files/download.tsv.edit-pawikibooks.tar.bz2
152;Facebook (NIPS);2888;2981;False;769;2.0644;http://konect.cc/files/download.tsv.ego-facebook.tar.bz2
153;Wiktionary edits (als);1271;1385;False;1058;2.17939;http://konect.cc/files/download.tsv.edit-alswiktionary.tar.bz2
154;A Song of Ice and Fire;796;32629;False;122;81.9824;http://konect.cc/files/download.tsv.asoiaf.tar.bz2
155;Wikibooks edits (ku);707;1350;False;380;3.81895;http://konect.cc/files/download.tsv.edit-kuwikibooks.tar.bz2
156;Wikibooks edits (ia);885;1494;False;319;3.37627;http://konect.cc/files/download.tsv.edit-iawikibooks.tar.bz2
157;Wikipedia talk (ht);536;1530;True;556;5.70896;http://konect.cc/files/download.tsv.wiki_talk_ht.tar.bz2
158;Wikibooks edits (cv);914;1498;False;202;3.2779;http://konect.cc/files/download.tsv.edit-cvwikibooks.tar.bz2
159;Wikibooks edits (af);971;1487;False;214;3.06282;http://konect.cc/files/download.tsv.edit-afwikibooks.tar.bz2
160;Caenorhabditis elegans;453;4596;False;639;20.2914;http://konect.cc/files/download.tsv.arenas-meta.tar.bz2
161;Wiktionary edits (za);682;1607;False;197;4.71261;http://konect.cc/files/download.tsv.edit-zawiktionary.tar.bz2
162;Wikibooks edits (oc);875;1684;False;384;3.84914;http://konect.cc/files/download.tsv.edit-ocwikibooks.tar.bz2
163;Wikibooks edits (te);944;1646;False;268;3.48729;http://konect.cc/files/download.tsv.edit-tewikibooks.tar.bz2
164;Hamsterster households;1576;4032;False;147;5.11675;http://konect.cc/files/download.tsv.petster-hamster-household.tar.bz2
165;Wiktionary edits (ik);741;1873;False;444;5.05533;http://konect.cc/files/download.tsv.edit-ikwiktionary.tar.bz2
166;Wiktionary edits (ks);888;1884;False;508;4.24324;http://konect.cc/files/download.tsv.edit-kswiktionary.tar.bz2
167;Wikipedia edits (ng);663;1897;False;160;5.72247;http://konect.cc/files/download.tsv.edit-ngwiki.tar.bz2
168;Caenorhabditis elegans (neural);297;4296;True;268;28.9293;http://konect.cc/files/download.tsv.dimacs10-celegansneural.tar.bz2
169;Wikibooks edits (sa);1493;1956;False;742;2.62023;http://konect.cc/files/download.tsv.edit-sawikibooks.tar.bz2
170;Wikibooks edits (kk);1162;2101;False;405;3.61618;http://konect.cc/files/download.tsv.edit-kkwikibooks.tar.bz2
171;U. Rovira i Virgili;1133;5451;False;71;9.62224;http://konect.cc/files/download.tsv.arenas-email.tar.bz2
172;Florida ecosystem wet;128;2106;True;110;32.9062;http://konect.cc/files/download.tsv.foodweb-baywet.tar.bz2
173;Florida ecosystem dry;128;2137;True;110;33.3906;http://konect.cc/files/download.tsv.foodweb-baydry.tar.bz2
174;Wikiquote edits (mr);1041;2250;False;288;4.32277;http://konect.cc/files/download.tsv.edit-mrwikiquote.tar.bz2
175;Wikibooks edits (li);1229;2321;False;1277;3.77705;http://konect.cc/files/download.tsv.edit-liwikibooks.tar.bz2
176;Wikibooks edits (be);1160;2411;False;969;4.1569;http://konect.cc/files/download.tsv.edit-bewikibooks.tar.bz2
177;Wikibooks edits (ang);1436;2480;False;1202;3.45404;http://konect.cc/files/download.tsv.edit-angwikibooks.tar.bz2
178;Wikibooks edits (mr);1199;2457;False;791;4.09842;http://konect.cc/files/download.tsv.edit-mrwikibooks.tar.bz2
179;Wikiquote edits (br);906;2625;False;679;5.7947;http://konect.cc/files/download.tsv.edit-brwikiquote.tar.bz2
180;Wikibooks edits (bs);1135;2572;False;529;4.53216;http://konect.cc/files/download.tsv.edit-bswikibooks.tar.bz2
181;Wiktionary edits (ha);1017;2563;False;533;5.04031;http://konect.cc/files/download.tsv.edit-hawiktionary.tar.bz2
182;Wiktionary edits (tn);882;2716;False;848;6.15873;http://konect.cc/files/download.tsv.edit-tnwiktionary.tar.bz2
183;Dutch college;32;3062;True;290;191.375;http://konect.cc/files/download.tsv.moreno_vdb.tar.bz2
184;Wiktionary edits (ts);1079;2756;False;760;5.10843;http://konect.cc/files/download.tsv.edit-tswiktionary.tar.bz2
185;Human proteins (Stelzl);1706;6207;True;189;7.27667;http://konect.cc/files/download.tsv.maayan-Stelzl.tar.bz2
186;Wikibooks edits (tt);1671;2861;False;807;3.4243;http://konect.cc/files/download.tsv.edit-ttwikibooks.tar.bz2
187;Human proteins (Vidal);3133;6726;False;129;4.29365;http://konect.cc/files/download.tsv.maayan-vidal.tar.bz2
188;Wikibooks edits (la);1014;2950;False;955;5.81854;http://konect.cc/files/download.tsv.edit-lawikibooks.tar.bz2
189;Human proteins (Figeys);2239;6452;True;314;5.76329;http://konect.cc/files/download.tsv.maayan-figeys.tar.bz2
190;Wikiquote edits (su);2184;3029;False;2287;2.77381;http://konect.cc/files/download.tsv.edit-suwikiquote.tar.bz2
191;Wikinews edits (th);1737;2960;False;797;3.40818;http://konect.cc/files/download.tsv.edit-thwikinews.tar.bz2
192;Wikiquote edits (kn);1126;3075;False;1425;5.46181;http://konect.cc/files/download.tsv.edit-knwikiquote.tar.bz2
193;Wikiquote edits (sq);1200;3128;False;398;5.21333;http://konect.cc/files/download.tsv.edit-sqwikiquote.tar.bz2
194;Wiktionary edits (sg);909;3094;False;878;6.80748;http://konect.cc/files/download.tsv.edit-sgwiktionary.tar.bz2
195;Wikiquote edits (sk);1403;3143;False;542;4.4804;http://konect.cc/files/download.tsv.edit-skwikisource.tar.bz2
196;US power grid;4941;6594;False;19;2.6691;http://konect.cc/files/download.tsv.opsahl-powergrid.tar.bz2
197;Wiktionary edits (ti);1282;3148;False;849;4.91108;http://konect.cc/files/download.tsv.edit-tiwiktionary.tar.bz2
198;Wikibooks edits (ur);1584;3164;False;395;3.99495;http://konect.cc/files/download.tsv.edit-urwikibooks.tar.bz2
199;Wikiquote edits (cy);1511;3417;False;1454;4.52283;http://konect.cc/files/download.tsv.edit-cywikisource.tar.bz2
200;Wikiquote edits (af);1438;3450;False;942;4.79833;http://konect.cc/files/download.tsv.edit-afwikiquote.tar.bz2
201;Wikiquote edits (cy);1557;3591;False;849;4.61272;http://konect.cc/files/download.tsv.edit-cywikiquote.tar.bz2
202;Wikibooks edits (km);1189;3661;False;1007;6.15812;http://konect.cc/files/download.tsv.edit-kmwikibooks.tar.bz2
203;Wikibooks edits (mk);2155;3748;False;1087;3.47842;http://konect.cc/files/download.tsv.edit-mkwikibooks.tar.bz2
204;Wikiquote edits (ur);2169;3995;False;2121;3.68373;http://konect.cc/files/download.tsv.edit-urwikiquote.tar.bz2
205;Wikinews edits (sd);2208;4069;False;2495;3.68569;http://konect.cc/files/download.tsv.edit-sdwikinews.tar.bz2
206;Wikiquote edits (be);1658;4036;False;838;4.86852;http://konect.cc/files/download.tsv.edit-bewikiquote.tar.bz2
207;Bible;1773;16401;False;364;18.5008;http://konect.cc/files/download.tsv.moreno_names.tar.bz2
208;Wiktionary edits (dv);1361;4497;False;1168;6.60838;http://konect.cc/files/download.tsv.edit-dvwiktionary.tar.bz2
209;Wiktionary edits (tpi);1057;4552;False;1103;8.61306;http://konect.cc/files/download.tsv.edit-tpiwiktionary.tar.bz2
210;Wiktionary edits (ss);1540;4703;False;1050;6.10779;http://konect.cc/files/download.tsv.edit-sswiktionary.tar.bz2
211;Wikibooks edits (et);1447;4863;False;887;6.72149;http://konect.cc/files/download.tsv.edit-etwikibooks.tar.bz2
212;Wikibooks edits (eu);1197;4898;False;1786;8.18379;http://konect.cc/files/download.tsv.edit-euwikibooks.tar.bz2
213;Wikiquote edits (ku);1333;4929;False;915;7.39535;http://konect.cc/files/download.tsv.edit-kuwikiquote.tar.bz2
214;Wikibooks edits (hy);1956;4927;False;1760;5.03783;http://konect.cc/files/download.tsv.edit-hywikibooks.tar.bz2
215;Wiktionary edits (iu);1152;4910;False;780;8.52431;http://konect.cc/files/download.tsv.edit-iuwiktionary.tar.bz2
216;Wiktionary edits (ln);1449;4895;False;1507;6.75638;http://konect.cc/files/download.tsv.edit-lnwiktionary.tar.bz2
217;Wikiquote edits (lt);1983;4944;False;1778;4.98638;http://konect.cc/files/download.tsv.edit-ltwikisource.tar.bz2
218;Hamsterster friendships;1858;12534;False;272;13.4919;http://konect.cc/files/download.tsv.petster-friendships-hamster.tar.bz2
219;Wikiquote edits (li);2869;5040;False;2369;3.51342;http://konect.cc/files/download.tsv.edit-liwikiquote.tar.bz2
220;Erdős;6927;11850;False;507;3.42139;http://konect.cc/files/download.tsv.pajek-erdos.tar.bz2
221;Wikiquote edits (zh-min-nan);3172;5221;False;3715;3.29193;http://konect.cc/files/download.tsv.edit-zh_min_nanwikisource.tar.bz2
222;Wikiquote edits (eu);1380;5591;False;1627;8.1029;http://konect.cc/files/download.tsv.edit-euwikiquote.tar.bz2
223;Wiktionary edits (su);1499;5461;False;807;7.28619;http://konect.cc/files/download.tsv.edit-suwiktionary.tar.bz2
224;Wikiquote edits (pa);1113;5660;False;1076;10.1707;http://konect.cc/files/download.tsv.edit-pawikisource.tar.bz2
225;Wikiquote edits (is);1490;5743;False;1374;7.70872;http://konect.cc/files/download.tsv.edit-iswikiquote.tar.bz2
226;Wikiquote edits (la);1681;5685;False;1985;6.76383;http://konect.cc/files/download.tsv.edit-lawikiquote.tar.bz2
227;Wikibooks edits (ms);2102;5593;False;1744;5.3216;http://konect.cc/files/download.tsv.edit-mswikibooks.tar.bz2
228;Hamsterster friends;2952;12534;False;272;8.49187;http://konect.cc/files/download.tsv.petster-hamster-friend.tar.bz2
229;Wikibooks edits (tl);2341;5767;False;1125;4.92695;http://konect.cc/files/download.tsv.edit-tlwikibooks.tar.bz2
230;Route views;6474;13895;False;1459;4.29255;http://konect.cc/files/download.tsv.as20000102.tar.bz2
231;Wikiquote edits (sah);1832;5882;False;2202;6.4214;http://konect.cc/files/download.tsv.edit-sahwikisource.tar.bz2
232;Wikipedia edits (ady);1254;6003;False;676;9.57416;http://konect.cc/files/download.tsv.edit-adywiki.tar.bz2
233;Wikipedia edits (atj);655;6306;False;1839;19.255;http://konect.cc/files/download.tsv.edit-atjwiki.tar.bz2
234;Wikibooks edits (hi);3189;5850;False;1080;3.66886;http://konect.cc/files/download.tsv.edit-hiwikibooks.tar.bz2
235;Wikibooks edits (si);3427;5850;False;1922;3.41406;http://konect.cc/files/download.tsv.edit-siwikibooks.tar.bz2
