Name,n,m,min_in,median_in_1,median_in_2,median_in_3,median_in_4,median_in_5,median_in_6,median_in_7,max_in,min_out,median_out_1,median_out_2,median_out_3,median_out_4,median_out_5,median_out_6,median_out_7,max_out
NR/b-dyn,1089,4265,1,2,2,2,2,3,7,7,11,1,2,2,3,3,4,5,6,11
NR/cis-n4c6-b2,1330,3991,0,0,0,0,0,0,0,19,20,3,3,3,3,3,3,3,3,4
NR/dwt-1005,1005,4814,1,2,3,4,4,5,5,8,26,1,3,4,4,4,5,5,6,20
NR/dwt-1007,1007,4792,1,4,5,5,5,5,5,5,6,1,4,5,5,5,5,5,5,6
NR/jagmesh4,1440,5473,1,2,3,4,4,4,4,6,7,1,2,2,4,4,4,5,6,8
NR/jagmesh6,1377,5186,1,2,3,4,4,4,4,6,6,1,2,2,3,4,4,5,6,8
NR/jagmesh9,1349,5226,1,3,4,4,4,4,4,4,6,1,2,4,4,4,4,4,5,8
NR/lp-scsd6,1350,4317,1,2,2,2,4,4,4,4,4,0,0,0,0,0,0,0,0,40
NR/lp-standmps,1274,3879,1,1,2,3,3,4,4,4,10,0,0,0,0,0,0,3,6,745
NR/lshp1270,1270,4970,1,2,3,4,4,4,4,6,7,1,2,2,4,4,4,5,6,8
NR/mk9-b2,1260,3781,0,0,0,0,0,0,10,10,11,3,3,3,3,3,3,3,3,4
NR/mk9-b3,1260,3781,3,3,3,3,3,3,3,3,4,0,0,4,4,4,4,4,4,5
NR/n4c6-b2,1330,3991,0,0,0,0,0,0,0,19,20,3,3,3,3,3,3,3,3,4
NR/rail-1357,1357,5172,1,1,1,1,3,5,6,9,11,1,1,1,5,5,5,5,5,5
NR/rajat19,1157,5400,1,1,3,3,4,4,5,6,338,1,2,3,3,3,4,5,6,338
NR/mammalia-voles-rob-trapping,1480,4568,0,0,1,1,2,3,4,7,26,0,0,1,1,2,3,4,7,26
NR/email-univ,1133,5450,0,0,0,1,2,4,7,11,57,0,1,2,3,4,5,6,9,26
NR/ia-email-univ,1133,5452,0,0,0,1,2,4,7,11,57,0,1,2,3,4,5,6,9,26
NR/Roget,1022,5076,0,1,2,3,4,5,7,9,22,0,1,2,3,4,5,7,9,22
NR/SmaGri,1059,4920,0,1,2,2,3,4,6,9,89,0,0,0,0,1,2,4,8,232
NR/circuit204,1020,5884,1,2,4,5,5,6,7,10,15,1,2,3,5,5,6,7,9,18
NR/dwt-1242,1242,5835,1,3,4,5,5,5,5,6,11,1,3,4,5,5,5,5,5,10
NR/email,1133,5452,0,0,0,1,2,4,7,11,57,0,1,2,3,4,5,6,9,26
NR/ex32,1159,6252,1,3,3,5,5,6,8,8,9,1,4,5,5,5,6,6,7,9
NR/fpga-dcop-01,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-02,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-03,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-04,1220,5885,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-05,1220,5853,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-06,1220,5861,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-07,1220,5856,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-08,1220,5889,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-09,1220,5889,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-10,1220,5885,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-11,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-12,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-13,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-14,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-15,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-16,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-17,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-18,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-19,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-20,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-21,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-22,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-23,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-24,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-25,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-26,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-27,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-28,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-29,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-30,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-31,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-32,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-33,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-34,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-35,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-36,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-37,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-38,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-39,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-40,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-41,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-42,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-43,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-44,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-45,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-46,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-47,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-48,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-49,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-50,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/fpga-dcop-51,1220,5893,1,3,3,4,4,4,4,7,36,1,3,4,4,5,5,5,5,36
NR/gre-1107,1107,5665,2,4,5,5,5,6,6,6,6,2,4,4,4,5,5,7,7,7
NR/illc1033,1033,4733,0,0,0,0,0,0,2,6,283,3,4,4,4,5,5,5,5,5
NR/l9,1483,4660,1,2,3,3,3,3,3,3,8,0,0,0,0,0,0,0,18,22
NR/lp-pilot4,1123,5265,1,1,2,2,3,4,4,6,27,0,0,0,0,0,0,5,9,76
NR/lp-scfxm2,1200,5470,1,1,1,2,3,3,5,13,20,0,0,0,0,2,4,5,10,57
NR/lpi-pilot4i,1123,5265,1,1,2,2,3,4,4,6,27,0,0,0,0,0,0,5,9,76
NR/n2c6-b3,1365,5461,0,0,0,0,0,0,12,12,13,4,4,4,4,4,4,4,4,5
NR/n3c6-b3,1365,5461,0,0,0,0,0,0,12,12,13,4,4,4,4,4,4,4,4,5
NR/n4c5-b3,1350,5401,0,0,0,0,0,0,12,12,13,4,4,4,4,4,4,4,4,5
NR/qh1484,1484,6111,2,2,3,4,4,4,4,6,13,2,2,3,4,4,4,4,6,13
NR/rel6,2340,5102,0,0,0,0,0,0,0,0,75,0,0,0,0,4,4,4,4,4
NR/DD-g294,1160,5483,1,3,4,4,5,5,6,6,9,1,3,4,4,5,5,6,6,9
NR/DD-g350,1103,5115,1,3,4,4,5,5,6,6,9,1,3,4,4,5,5,6,6,9
NR/ia-fb-messages,1266,6452,0,0,1,1,2,3,6,11,84,0,0,1,1,2,4,6,11,99
NR/G51,1000,5910,0,0,1,1,2,4,6,11,154,0,6,6,6,6,6,6,6,7
NR/G52,1000,5917,0,0,1,1,2,4,6,11,168,0,6,6,6,6,6,6,6,7
NR/G53,1000,5915,0,0,1,1,2,4,6,12,136,0,6,6,6,6,6,6,6,7
NR/G54,1000,5917,0,0,1,1,2,4,6,11,136,0,6,6,6,6,6,6,6,7
NR/bcsstk08,1074,7018,1,1,3,4,5,6,7,8,335,1,4,4,5,6,6,7,8,166
NR/can-1054,1054,6626,1,2,3,3,3,4,7,15,32,1,4,5,6,7,7,8,8,12
NR/can-1072,1072,6759,1,2,3,3,3,5,8,16,32,1,4,5,6,7,7,8,8,13
NR/fpga-trans-01,1220,7383,1,4,4,5,5,5,5,9,50,1,4,4,5,5,5,5,9,50
NR/fpga-trans-02,1220,7383,1,4,4,5,5,5,5,9,50,1,4,4,5,5,5,5,9,50
NR/lp-fffff800,1028,6402,1,1,2,2,4,4,6,14,50,0,0,0,0,1,3,7,9,251
NR/orsirr-1,1030,6859,4,6,6,6,7,7,7,7,13,4,6,6,6,7,7,7,7,13
NR/rdb1250,1250,7301,4,5,6,6,6,6,6,6,6,4,5,6,6,6,6,6,6,6
NR/rdb1250l,1250,7301,4,5,6,6,6,6,6,6,6,4,5,6,6,6,6,6,6,6
NR/DD-g317,1019,5661,1,4,4,5,6,6,7,8,11,1,4,4,5,6,6,7,8,11
NR/DD-g79,1021,5777,2,4,4,5,6,6,7,8,10,2,4,4,5,6,6,7,8,10
NR/DD-g242,1284,6605,2,3,4,5,5,6,6,7,12,1,3,4,5,5,6,6,7,12
NR/DD-g7,1396,6909,1,3,4,4,5,5,6,7,10,1,3,4,4,5,5,6,7,10
NR/mahindas,1258,7683,1,1,2,2,2,2,3,6,203,1,1,1,2,3,4,5,12,69
NR/model2,1321,7608,1,1,4,5,6,7,8,8,14,0,0,0,0,0,0,3,12,138
NR/nnc1374,1374,8607,1,3,3,5,7,7,8,10,16,1,4,5,5,7,7,7,7,16
NR/pores-2,1224,9614,2,2,2,2,9,12,12,14,30,5,7,7,7,8,8,8,9,16
NR/spiral,1434,9832,1,2,2,2,2,2,3,23,69,1,2,2,2,2,2,2,21,57
NR/bcsstk09,1083,9761,1,8,8,8,8,8,13,13,14,1,7,9,9,9,9,11,11,11
NR/bcsstm12,1473,10567,1,4,5,5,8,9,10,10,20,1,4,5,5,8,9,10,10,20
NR/eris1176,1176,9865,1,1,1,2,2,3,7,18,93,1,2,2,2,3,3,7,18,81
NR/rajat04,1041,9643,1,5,5,6,6,7,8,11,661,1,5,5,6,6,7,8,11,661
NR/G43,1000,9991,0,2,5,7,10,12,15,18,33,0,2,5,7,9,12,15,19,29
NR/G44,1000,9991,0,2,4,7,9,12,15,18,31,0,2,5,7,9,12,15,18,31
NR/G45,1000,9991,0,2,5,7,10,12,15,18,31,0,2,4,7,10,12,15,19,33
NR/G46,1000,9991,0,2,5,7,9,12,15,18,28,0,2,5,7,10,12,15,18,29
NR/G47,1000,9991,0,2,5,7,10,12,15,18,32,0,2,5,7,10,12,15,18,31
NR/bcsstk10,1086,11579,1,7,9,9,10,13,13,14,15,1,7,9,9,10,12,13,14,15
NR/cage8,1015,11004,5,7,8,10,11,12,13,15,18,5,7,8,10,11,12,13,15,18
NR/145bit,1002,11316,0,2,3,4,5,6,8,14,503,7,10,10,11,11,12,12,13,15
NR/TF13,1302,11186,0,6,7,8,9,9,10,11,12,0,0,6,8,9,10,11,14,35
NR/bcsstm10,1086,11590,1,7,9,9,10,13,13,14,15,1,7,9,9,10,13,13,14,15
NR/mhd1280b,1280,12030,1,3,4,5,7,10,13,19,24,1,3,4,6,9,11,13,16,20
NR/D-9,1133,12396,0,7,10,11,12,12,13,13,16,0,0,0,9,12,15,17,21,34
NR/lpi-klein3,1082,13102,1,1,1,1,1,1,1,1,275,0,3,6,7,10,13,16,22,70
NR/photogrammetry,1388,11817,0,0,0,0,0,0,15,32,72,4,7,9,9,9,9,9,9,10
NR/D-7,1270,12715,0,0,4,9,13,14,15,16,62,2,7,8,9,10,11,12,13,20
NR/lp-fit1d,1049,13428,1,11,12,13,13,14,14,15,18,0,0,0,0,0,0,0,0,1027
NR/radfr1,1048,13300,10,12,13,13,13,13,13,13,14,1,6,6,6,6,19,19,19,41
NR/msc01050,1050,15104,1,4,8,12,15,17,20,24,38,1,3,5,7,10,11,16,24,126
NR/D-8,1271,14967,0,8,11,12,13,13,14,14,21,0,5,9,11,13,14,15,17,27
NR/plbuckle,1282,15964,1,9,12,13,13,14,14,15,15,1,9,12,13,13,14,14,15,33
NR/bcsstk11,1473,17858,1,6,10,13,13,14,15,15,30,1,7,10,13,13,14,15,15,27
NR/bcsstk12,1473,17858,1,6,10,13,13,14,15,15,30,1,7,10,13,13,14,15,15,27
NR/polblogs,1490,19026,0,0,0,1,2,4,9,33,337,0,0,0,2,4,9,16,32,256
NR/coater1,1348,19458,0,5,9,11,14,15,19,24,37,1,1,6,10,12,14,20,28,55
NR/lhr01,1477,18593,1,2,2,3,4,24,25,25,26,1,2,3,3,4,5,21,43,43
NR/msc01440,1440,23856,1,3,6,10,17,21,25,31,42,1,2,5,11,18,22,26,32,40
NR/sherman2,1080,23095,1,15,18,20,23,24,25,28,34,1,4,8,18,25,29,32,35,42
NR/lock1074,1074,26314,0,11,19,22,24,28,32,37,60,0,13,16,19,23,28,33,36,66
NR/bcsstk27,1224,28676,2,16,18,24,26,27,28,29,30,1,14,21,23,25,26,28,29,33
NR/bcsstm27,1224,28676,2,16,18,24,26,27,28,29,30,1,14,21,23,25,26,28,29,33
NR/cavity05,1182,32748,1,1,18,18,21,36,36,62,62,8,15,18,18,21,30,36,52,62
NR/cavity06,1182,32748,8,15,18,18,21,30,36,52,62,1,1,18,18,21,36,36,62,62
NR/cavity07,1182,32748,1,1,18,18,21,36,36,62,62,8,15,18,18,21,30,36,52,62
NR/cavity08,1182,32748,8,15,18,18,21,30,36,52,62,1,1,18,18,21,36,36,62,62
NR/cavity09,1182,32748,1,1,18,18,21,36,36,62,62,8,15,18,18,21,30,36,52,62
NR/Trec11,1138,35706,0,6,9,12,18,26,42,68,179,0,0,0,0,0,0,0,140,274
NR/ex23,1409,43704,8,18,19,21,26,36,36,57,67,8,18,19,21,26,36,36,57,67
NR/complex,1408,46464,1,1,1,1,1,1,64,64,512,0,0,0,8,16,31,57,99,387
NR/mhd1280a,1280,47907,1,14,20,22,32,48,56,66,66,1,20,24,32,38,40,54,56,56
NR/socfb-Haverford76,1446,59590,0,4,9,17,28,41,59,87,346,0,4,10,17,29,41,59,90,225
NR/p-hat1000-1,1000,122254,0,29,59,84,109,137,177,230,376,0,27,54,81,110,137,180,232,369
NR/cari,1200,152801,1,1,1,1,1,1,380,380,380,0,0,0,0,0,0,382,382,383
NR/p-hat1000-2,1000,244800,1,57,118,166,220,274,358,464,715,0,57,107,163,220,272,361,467,739
NR/DSJC1000-5,1000,249827,0,63,123,185,251,316,374,440,516,0,61,125,188,252,314,371,439,520
NR/san1000,1000,250501,0,62,126,187,253,313,376,435,542,0,64,124,187,249,309,374,439,539
NR/p-hat1000-3,1000,371747,1,90,191,281,367,451,552,658,853,0,95,183,271,359,458,555,656,863
NR/hamming10-4,1024,434177,0,99,219,318,466,565,685,784,848,0,99,219,318,466,565,685,784,849
NR/C1000-9,1000,450080,1,112,223,338,448,563,677,789,905,0,112,226,338,452,564,675,787,912
NR/hamming10-2,1024,518657,0,127,255,382,511,638,766,893,1013,0,127,255,382,511,638,766,893,1014
NR/MANN-a45,1035,533116,0,129,258,387,516,645,774,903,1012,0,128,257,386,515,644,773,902,1032
NR/scc-rt-voteonedirection,1833,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
NR/scc-rt-assad,2035,97,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,15
NR/ca-CSphd,1882,1740,0,1,1,1,1,1,1,1,3,0,0,0,0,0,1,1,2,45
NR/CSphd,1882,1741,0,1,1,1,1,1,1,1,3,0,0,0,0,0,1,1,2,45
NR/NotreDame-yeast,2114,2278,0,0,0,0,0,1,1,2,49,0,0,0,0,1,1,1,2,31
NR/bcspwr07,1612,3719,1,1,1,2,2,2,3,4,12,1,1,1,2,2,2,3,4,10
NR/bcspwr08,1624,3838,1,1,1,2,2,2,3,4,12,1,1,1,2,2,2,3,4,10
NR/bcspwr09,1723,4118,1,2,2,2,2,3,3,3,7,1,1,1,1,2,2,3,5,14
NR/bcsstm26,1922,1923,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
NR/rt-voteonedirection,7,5,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,0,2
NR/ch7-9-b1,1512,3025,0,0,0,0,0,0,0,0,49,2,2,2,2,2,2,2,2,3
NR/ch8-8-b1,1568,3137,0,0,0,0,0,0,0,0,50,2,2,2,2,2,2,2,2,3
NR/lp-modszk1,1620,3169,1,1,1,1,1,1,2,3,23,0,0,0,0,0,3,4,4,21
NR/nemsafm,2348,2827,1,1,1,1,1,1,1,2,4,0,0,0,0,0,0,0,2,20
NR/netscience,1589,2743,0,0,0,0,1,1,2,4,33,0,0,0,1,1,2,2,4,19
NR/netz4504,1961,2579,0,0,1,1,1,1,2,3,7,0,1,1,1,1,2,2,2,4
NR/rt-assad,20,16,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,7
NR/bio-yeast-protein-inter,2114,4479,0,1,1,1,1,2,2,4,56,0,1,1,1,1,2,2,4,56
NR/G32,2000,4001,1,2,2,2,2,2,2,2,4,0,2,2,2,2,2,2,2,5
NR/G33,2000,4001,1,2,2,2,2,2,2,2,4,0,2,2,2,2,2,2,2,5
NR/G34,2000,4001,1,2,2,2,2,2,2,2,4,0,2,2,2,2,2,2,2,5
NR/M40PI-n,2182,5342,1,2,2,2,2,3,3,3,12,1,2,2,2,2,3,3,3,12
NR/M40PI-n1,2028,5008,0,2,2,2,2,3,3,3,8,0,2,2,2,2,3,3,3,8
NR/S40PI-n,2182,5342,1,2,2,2,2,3,3,3,12,1,2,2,2,2,3,3,3,12
NR/S40PI-n1,2028,5008,0,2,2,2,2,3,3,3,8,0,2,2,2,2,3,3,3,8
NR/lp-shell,1777,3559,1,2,2,2,2,2,2,2,3,0,0,0,0,0,0,2,4,255
NR/lp-ship04s,1506,4401,1,3,3,3,3,3,3,3,6,0,0,0,0,0,0,0,6,66
NR/nemscem,1712,3841,1,1,2,2,2,2,3,3,4,0,0,0,0,0,1,2,9,137
NR/qiulp,1900,4493,1,1,1,1,1,3,4,4,11,0,0,0,3,3,3,3,3,199
NR/tols2000,2000,5185,1,1,1,1,1,1,1,5,22,1,1,2,2,2,2,2,2,90
NR/ukerbe1-dual,1866,3539,0,1,2,2,2,2,2,3,4,0,1,2,2,2,2,2,2,4
NR/mammalia-voles-bhp-trapping,1686,5323,0,0,1,1,2,3,4,7,40,0,0,1,1,2,3,4,7,32
NR/Franz1,2240,5121,0,0,0,0,0,0,6,7,7,2,2,2,2,2,2,2,4,4
NR/de063155,1848,4914,0,0,1,2,2,3,3,6,12,0,0,0,0,0,3,3,7,26
NR/de063157,1908,5120,0,0,1,1,2,3,3,6,12,0,0,0,0,0,3,3,7,25
NR/de080285,1908,5083,0,0,1,1,2,3,3,6,12,0,0,0,0,0,3,3,7,26
NR/filter2D,1668,6210,1,3,3,4,4,4,4,5,7,1,3,3,4,4,4,4,4,6
NR/lshp1561,1561,6122,1,2,3,4,4,4,4,6,7,1,2,2,4,4,4,5,6,8
NR/plsk1919,1919,4832,0,0,0,2,4,4,4,4,4,0,0,0,2,2,2,6,6,6
NR/rajat02,1960,6567,0,1,1,1,2,2,2,5,539,0,2,3,3,3,4,4,5,8
NR/delaunay-n11,2048,6128,0,1,1,2,3,3,4,5,9,0,0,1,2,3,4,4,5,10
NR/blckhole,2132,8503,1,4,4,4,4,4,4,4,8,1,4,4,4,4,4,4,4,19
NR/bwm2000,2000,7997,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
NR/c-18,2169,8658,1,1,1,1,2,2,2,7,62,1,1,1,1,1,4,6,8,171
NR/lp-bnl1,1586,5533,1,1,1,3,4,4,5,6,8,0,0,0,0,0,2,3,10,76
NR/lp-perold,1506,6149,1,1,2,3,4,4,5,6,16,0,0,0,0,0,3,6,10,38
NR/lp-ship04l,2166,6381,1,3,3,3,3,3,3,3,6,0,0,0,0,0,0,0,6,84
NR/lshp1882,1882,7394,1,2,3,4,4,4,4,6,7,1,2,3,4,4,4,5,6,8
NR/lung1,1650,7420,2,3,3,3,4,6,6,6,8,2,3,3,3,4,6,6,6,8
NR/n4c5-b9,1895,6301,3,3,3,3,3,3,3,5,6,0,0,0,0,0,0,10,10,11
NR/olm2000,2000,7997,3,4,4,4,4,4,4,4,4,2,2,2,2,4,6,6,6,6
NR/ch6-6-b2,2400,7201,0,0,0,0,0,0,0,16,17,3,3,3,3,3,3,3,3,4
NR/cr42,1513,6615,1,1,1,1,1,3,3,3,302,0,0,0,0,6,8,8,8,9
NR/lp-ganges,1706,6938,1,2,2,2,2,2,3,10,13,0,0,1,2,3,3,4,13,85
